gene	logFC	logCPM	PValue	FDR
Tmtc1	-1.03648179740978	7.66003170687079	3.79736443843886e-10	2.20929996824085e-08
Dcxr	1.53313420433333	5.04348944092035	3.9715039683078e-10	2.30052402356345e-08
Nlrc5	2.43101970677432	4.14582742925266	4.08947846834086e-10	2.35856225576267e-08
Srgap3	2.55365873119215	4.42109901024439	4.13662859527877e-10	2.37542763274341e-08
Osmr	1.0746965296033	6.26124545246114	4.56884353310725e-10	2.61231506321843e-08
Adamts16	-1.83355955617802	5.01202544668268	5.11929726508852e-10	2.91448404383688e-08
Itpr3	-1.11146278823185	7.76147998280487	5.55726637674707e-10	3.15030506357051e-08
Gas1	-1.20461060918277	7.17642888354206	5.64334324913314e-10	3.18548715743622e-08
Vcan	3.00534199636451	0.774750508415843	5.67578241734987e-10	3.19022261720958e-08
Ablim3	-1.08341417807074	5.82885983025367	5.72281795847471e-10	3.20308777296063e-08
Nipal1	2.98405288530129	-0.0307527113477593	5.77373264729265e-10	3.21800687253517e-08
Zc2hc1a	0.972617304506658	6.32608389226169	5.84647288449432e-10	3.24491476204256e-08
Car12	-1.07570186759417	6.30015903954946	5.88898832467614e-10	3.25489292195121e-08
F2r	1.27617859410578	9.5767812921247	6.4639951831377e-10	3.55787950640339e-08
Adamts8	3.6351764795176	0.237483381037454	6.57534479491697e-10	3.59162239613044e-08
Gm6300	-3.94801764645556	-0.0267108640218819	6.57945150591554e-10	3.59162239613044e-08
Arhgef12	-1.01498241891039	9.92626467617933	7.31213711027376e-10	3.97522535933531e-08
Rhbdf2	1.08545637634098	6.63601380120716	8.41591774984263e-10	4.55661832455766e-08
D430020J02Rik	2.67917777144203	0.33004803040337	8.53225649124068e-10	4.58966120832887e-08
Kcnj12	-2.33688255681473	3.79816813608409	8.54614638867117e-10	4.58966120832887e-08
Tmbim1	0.99754852535398	7.94694386694093	8.93256270602026e-10	4.77784049578059e-08
Crtc1	-1.27429483046267	5.74849770998581	9.93016880139953e-10	5.29010799801465e-08
Acot7	1.12112864687559	5.13638328969388	1.02180031227027e-09	5.42167245690604e-08
Tubb6	1.33111814197668	4.75534713162182	1.03403895462439e-09	5.46475168649105e-08
H2-D1	1.35031560397791	8.56637820704719	1.04863011701247e-09	5.51987242149622e-08
Mgam	-1.58897867194402	6.45928366098171	1.07945368766324e-09	5.65966528334104e-08
Nebl	-1.06323735009472	8.06777906808903	1.22411863075915e-09	6.39288725866931e-08
Dennd11	-0.949572753333574	6.34468913308556	1.46968273583069e-09	7.64523195717417e-08
Itgb5	-0.977478379899077	9.27879984561976	1.51170194313425e-09	7.83309620143586e-08
Nphs2	-1.43973068572479	11.3171102077659	1.59008037776773e-09	8.20716584089062e-08
Emp1	1.15860371979246	7.66488998223015	1.61223864701389e-09	8.28928126071287e-08
Qsox1	1.11699294448095	6.70766372843862	1.64823539779667e-09	8.44163805087756e-08
Cd59a	-1.10400450130305	7.39585088465309	2.15306562802832e-09	1.09847752137676e-07
Sema7a	1.36398478609392	8.21353663134719	2.20314140382368e-09	1.11971918474027e-07
Col4a2	1.2611259797782	9.52330427561907	2.66115326439239e-09	1.34683199870735e-07
Cyp4a14	6.9750720028106	3.54132536773557	2.67031146370173e-09	1.34683199870735e-07
Map3k6	1.33090062764819	5.92806936838744	2.70740896439755e-09	1.36037045123991e-07
Eif1a	1.19611386875753	6.03500672664583	2.96669447094948e-09	1.48502649649603e-07
Nek1	-1.10362271074571	5.87740243304597	2.99317344727971e-09	1.49264833752501e-07
Rprm	3.08984293714808	0.806740630787401	3.19556115522727e-09	1.58760744284981e-07
P3h2	-0.910264559355256	8.59676141871268	3.26748708507093e-09	1.61728418595022e-07
Aldh1a7	3.18081808550502	1.72145769324402	3.31226503296754e-09	1.63335299859905e-07
Nfkbia	1.02793478653009	8.19524404461465	3.58010733894021e-09	1.75889347596452e-07
Gprc5a	1.89024731929755	3.82586457761246	3.67691105923369e-09	1.79978690777619e-07
Tacstd2	1.457612347689	4.79043302857838	4.03782963162003e-09	1.96918419350881e-07
Foxc2	-1.2983951209139	7.05344277494754	4.31101120581949e-09	2.0947092910328e-07
C130021I20Rik	-0.99256184220841	6.41691894588453	4.54634028041196e-09	2.20099284013375e-07
Trp53inp1	1.1609251757171	7.26011679135472	4.97428106008291e-09	2.39941230043636e-07
Adamts4	3.39197822856824	1.22758322958373	5.1867207906484e-09	2.4928206988388e-07
Optn	-1.06383353917812	7.10521338227511	5.33411817765417e-09	2.55440713453367e-07
Ifitm3	1.0934751372191	8.21003094214839	5.35777521557938e-09	2.55650677103095e-07
Nphs1	-1.25154807612924	10.0799913714851	5.9687032615671e-09	2.83780819945117e-07
Lman2l	-1.18359726594597	5.21817814706323	6.21763020758768e-09	2.94560231084466e-07
Txnrd1	1.05787945816314	6.97847970016325	6.46131967997314e-09	3.05015678131117e-07
Ptch1	-0.994610066757247	6.97073203429208	6.58129654550775e-09	3.09577654880001e-07
Fam222a	-1.13992480806141	4.95232788956575	7.40239396706425e-09	3.46970869162923e-07
Pxdc1	1.08664213055152	6.55702284856923	7.58069365941867e-09	3.54077117578129e-07
